step,loss,action_l1,kl,learning_rate,gradient_norm,step_seconds,elapsed_seconds
1,77.02539825439453,0.9584177732467651,7.6066975593566895,2.0000000000000002e-07,858.1093139648438,0.986261130999992,1.0196105139999645
2,76.8851318359375,0.9358711242675781,7.594925880432129,4.0000000000000003e-07,860.7903442382812,0.06843818699996973,1.0890399189999016
3,76.88868713378906,0.8473246097564697,7.604135990142822,6.000000000000001e-07,879.0397338867188,0.08756971100001465,1.1770400269999755
4,77.1578140258789,0.8927391171455383,7.626507759094238,8.000000000000001e-07,884.9498901367188,0.06449083600000449,1.2419521589999931
5,76.4133529663086,0.91013103723526,7.55032205581665,1.0000000000000002e-06,872.0596923828125,0.06783953799993014,1.3102225789999693
6,76.00315856933594,0.8979262709617615,7.510523319244385,1.2000000000000002e-06,866.9561767578125,0.06656102699992061,1.377177880999966
7,74.97749328613281,0.88560551404953,7.409188747406006,1.4000000000000001e-06,861.1530151367188,0.06763544800003274,1.4451946709999675
8,74.55562591552734,0.9006410837173462,7.365498065948486,1.6000000000000001e-06,856.9138793945312,0.06596380899998167,1.5115484389999665
9,73.78153228759766,0.8316920399665833,7.294983863830566,1.8e-06,866.1241455078125,0.06748773000003894,1.5794096649999574
10,72.35324096679688,0.9297553300857544,7.142348289489746,2.0000000000000003e-06,835.8716430664062,0.06693845600000259,1.6467373059999773
11,71.48564910888672,0.8883121609687805,7.059733867645264,2.2e-06,835.3106079101562,0.06863690500006214,1.7158194229999708
12,70.42649841308594,0.9404504895210266,6.948604583740234,2.4000000000000003e-06,820.0294799804688,0.06709471099998154,1.7833673739999085
13,68.4588623046875,0.8509693741798401,6.760789394378662,2.6e-06,819.59326171875,0.06903389399997195,1.8527891960000034
14,67.63036346435547,0.8775432109832764,6.6752824783325195,2.8000000000000003e-06,812.6421508789062,0.06725516500000595,1.9204703909999807
15,66.00492095947266,0.8892922401428223,6.511562824249268,3e-06,800.3329467773438,0.06763866599999346,1.988488562999919
16,64.50920867919922,0.9185260534286499,6.359067916870117,3.2000000000000003e-06,782.9251708984375,0.0664892319999808,2.055362696999964
17,63.06594467163086,0.8544731140136719,6.221147060394287,3.4000000000000005e-06,780.5084228515625,0.06756615599999805,2.123345628999914
18,61.07197570800781,0.8557419776916504,6.021623134613037,3.6e-06,767.0919189453125,0.0658911860000444,2.189602564999973
19,59.35070037841797,0.8659831285476685,5.848471641540527,3.8e-06,761.6466674804688,0.06695273599996199,2.256921623999915
20,57.422786712646484,0.8340874314308167,5.658869743347168,4.000000000000001e-06,746.4508666992188,0.0659260349999613,2.323264713999947
21,55.03702163696289,0.9237392544746399,5.411328315734863,4.2000000000000004e-06,712.408447265625,0.06740437600001314,2.391027216999987
22,53.263587951660156,0.9260882139205933,5.233750343322754,4.4e-06,699.1951904296875,0.06672014499997658,2.458154370999978
23,51.07017517089844,0.8085159063339233,5.026165962219238,4.6e-06,700.9603881835938,0.06749630000001616,2.5260506029999306
24,49.35706329345703,0.8938177824020386,4.846324443817139,4.800000000000001e-06,676.3770751953125,0.06612297799995304,2.5925270429999046
25,46.68731689453125,0.8183655738830566,4.586894989013672,5e-06,654.1636352539062,0.06874001599999247,2.661623453999937
26,44.743038177490234,0.907457172870636,4.38355827331543,5.2e-06,622.8597412109375,0.06646067400004085,2.728468100999976
27,42.63446807861328,0.8673771619796753,4.176709175109863,5.4e-06,617.0991821289062,0.06768544700003076,2.7964828159999797
28,40.12081527709961,0.7637518644332886,3.93570613861084,5.600000000000001e-06,607.126708984375,0.06807613000000856,2.8649377250000043
29,37.76143264770508,0.7966367602348328,3.696479558944702,5.8e-06,576.7984619140625,0.06770583000002262,2.933090536999998
30,35.928627014160156,0.8618099093437195,3.5066819190979004,6e-06,545.0950317382812,0.06611228300005223,2.9995775829999047
31,33.616180419921875,0.9055690765380859,3.271061420440674,6.2e-06,514.9638671875,0.06676536999998461,3.0667061279999643
32,30.727420806884766,0.7346863746643066,2.9992735385894775,6.4000000000000006e-06,515.3726196289062,0.07202255999993668,3.139113866999992
33,28.97801971435547,0.8197568655014038,2.815826177597046,6.6e-06,479.7955322265625,0.07074424899997211,3.2103039739999986
34,26.884803771972656,0.7943927049636841,2.6090409755706787,6.800000000000001e-06,459.1255187988281,0.06961632399998052,3.2803474399999004
35,24.443389892578125,0.752470076084137,2.3690919876098633,7.000000000000001e-06,436.4204406738281,0.08299352599999565,3.363744624999981
36,22.75557518005371,0.7830287218093872,2.1972546577453613,7.2e-06,406.9430236816406,0.08097192700006417,3.445151500999941
37,20.238637924194336,0.7095857858657837,1.952905297279358,7.4e-06,391.95208740234375,0.08213968500001556,3.527686008999922
38,18.601764678955078,0.7881190180778503,1.7813646793365479,7.6e-06,357.5940246582031,0.07982500599996456,3.6079123249999157
39,16.735469818115234,0.7434003949165344,1.5992069244384766,7.8e-06,331.9584655761719,0.06824997100000019,3.6766012459999047
40,15.31485366821289,0.7372950315475464,1.4577558040618896,8.000000000000001e-06,305.2909240722656,0.0733870220000199,3.7503622519999453
41,13.77904224395752,0.8035639524459839,1.2975478172302246,8.200000000000001e-06,279.1299133300781,0.08541667199995118,3.83619072099998
42,11.908939361572266,0.7712348103523254,1.1137704849243164,8.400000000000001e-06,254.8938446044922,0.06855470600009994,3.9051724559999457
43,10.434425354003906,0.7226930856704712,0.9711731672286987,8.599999999999999e-06,230.48789978027344,0.06738615100005063,3.9729541349998954
44,9.185730934143066,0.6960194706916809,0.8489711284637451,8.8e-06,209.10443115234375,0.07444240199993146,4.047829374000003
45,7.872810363769531,0.6868943572044373,0.718591570854187,9e-06,184.2405242919922,0.07297286300001815,4.121275626999932
46,6.9957594871521,0.6856594681739807,0.6310099959373474,9.2e-06,161.17054748535156,0.08005781100007425,4.201772905999974
47,6.199115753173828,0.6882026791572571,0.5510913133621216,9.4e-06,141.38255310058594,0.06917861700003414,4.271398094000006
48,5.4708709716796875,0.7111734747886658,0.47596973180770874,9.600000000000001e-06,122.45419311523438,0.06796951499995885,4.339764609999975
49,4.563426494598389,0.6534441113471985,0.3909982144832611,9.800000000000001e-06,108.87588500976562,0.06806057300002522,4.408240748999901
50,4.022284984588623,0.643567681312561,0.3378717303276062,1e-05,91.86803436279297,0.0672583839999561,4.4758991379999316
51,3.216956615447998,0.602983295917511,0.2613973319530487,1.02e-05,80.58446502685547,0.06851453399997354,4.544819054999948
52,2.8896822929382324,0.5906672477722168,0.2299014925956726,1.04e-05,72.76508331298828,0.06775301100003617,4.612972209999953
53,2.835611343383789,0.5672779083251953,0.22683334350585938,1.06e-05,71.63322448730469,0.06880822599998737,4.6822098699999515
54,2.408778667449951,0.5951322317123413,0.18136465549468994,1.08e-05,60.73087692260742,0.0674204549999331,4.750047013999961
55,2.2682557106018066,0.5238639712333679,0.1744391769170761,1.1000000000000001e-05,60.132381439208984,0.06847331300002679,4.818919387999927
56,2.054262399673462,0.5342679023742676,0.15199944376945496,1.1200000000000001e-05,58.30147933959961,0.06845186499992906,4.887770588999956
57,2.0612595081329346,0.5394238829612732,0.15218356251716614,1.1400000000000001e-05,61.16951370239258,0.06843476199992438,4.956612377999932
58,1.758476972579956,0.5043322443962097,0.12541447579860687,1.16e-05,55.787567138671875,0.06729698900005587,5.024284643999977
59,1.5811655521392822,0.4563606381416321,0.11248049139976501,1.18e-05,54.75463104248047,0.06680063399994651,5.091461891999984
60,1.4383059740066528,0.4521331489086151,0.09861727803945541,1.2e-05,52.37103271484375,0.0743501169999945,5.166348310999979
61,1.488698124885559,0.48568248748779297,0.10030156373977661,1.22e-05,49.05889129638672,0.06988051400003314,5.236656109999899
62,1.3795020580291748,0.47638797760009766,0.09031140804290771,1.24e-05,46.313011169433594,0.06957360800004153,5.306638666999902
63,1.246809959411621,0.4577482342720032,0.07890616357326508,1.2600000000000001e-05,39.097137451171875,0.07156939300000431,5.378617896999913
64,1.1637282371520996,0.45448124408721924,0.07092470675706863,1.2800000000000001e-05,36.25459671020508,0.0719166019999875,5.450963285999933
65,1.0675586462020874,0.3876260221004486,0.06799326092004776,1.3000000000000001e-05,31.330705642700195,0.06920416699995258,5.520638962999897
66,1.0544406175613403,0.49042752385139465,0.05640131235122681,1.32e-05,28.0557804107666,0.06679501000007804,5.587859327999922
67,0.8795032501220703,0.4289925694465637,0.04505106806755066,1.3400000000000002e-05,24.143850326538086,0.06735212299997784,5.6556238239999175
68,0.7798934578895569,0.4234260320663452,0.035646744072437286,1.3600000000000002e-05,23.724328994750977,0.06786675299997569,5.723947721999934
69,0.7974101901054382,0.40225645899772644,0.03951537236571312,1.3800000000000002e-05,21.641258239746094,0.06815640900003928,5.792521386999965
70,0.7335374355316162,0.38516122102737427,0.034837618470191956,1.4000000000000001e-05,21.3546199798584,0.06682715099998404,5.859741037999925
71,0.7782670259475708,0.4607495069503784,0.03175174817442894,1.42e-05,20.97443199157715,0.06846651300008944,5.92860680199999
72,0.7541676163673401,0.4461764395236969,0.03079911880195141,1.44e-05,19.595136642456055,0.06675982800004476,5.99575456499997
73,0.7095449566841125,0.3971928060054779,0.031235214322805405,1.4599999999999999e-05,19.518585205078125,0.06618643699994209,6.062356152000007
74,0.6633776426315308,0.4108789563179016,0.025249872356653214,1.48e-05,17.091650009155273,0.0663661900000534,6.129099011999983
75,0.7024149298667908,0.4205789864063263,0.028183594346046448,1.5e-05,15.28699016571045,0.06603840600007516,6.195512735999955
76,0.5274413824081421,0.3759000599384308,0.015154131688177586,1.52e-05,15.90278434753418,0.06607995900003516,6.261946676999969
77,0.6214019060134888,0.41383153200149536,0.02075703628361225,1.54e-05,15.405891418457031,0.06606121899994832,6.328400231999922
78,0.5830169916152954,0.35971304774284363,0.022330397740006447,1.56e-05,15.25278377532959,0.0660954509999101,6.3948562379999885
79,0.5464054346084595,0.413928747177124,0.013247668743133545,1.58e-05,16.42205810546875,0.06637979899994662,6.461611435000009
80,0.5839351415634155,0.3846099376678467,0.019932517781853676,1.6000000000000003e-05,13.436450004577637,0.06653363099997023,6.528514771999994
81,0.5556854009628296,0.38239407539367676,0.017329130321741104,1.62e-05,12.588541030883789,0.06603985499998544,6.594915048999951
82,0.603600263595581,0.4132738411426544,0.019032638520002365,1.6400000000000002e-05,13.24764633178711,0.06669366799997078,6.6620091429999775
83,0.45811620354652405,0.3456680178642273,0.0112448176369071,1.66e-05,11.976693153381348,0.06670549900002243,6.729142682999964
84,0.5668429136276245,0.41168147325515747,0.015516145154833794,1.6800000000000002e-05,10.48727798461914,0.0662762050000083,6.795745133999958
85,0.5875599384307861,0.44005340337753296,0.014750652015209198,1.7000000000000003e-05,11.438581466674805,0.06587928400006149,6.862007930000004
86,0.576267421245575,0.45624876022338867,0.012001865543425083,1.7199999999999998e-05,10.48176097869873,0.06706377199998315,6.9294459109999025
87,0.4680745005607605,0.3466684818267822,0.012140603736042976,1.74e-05,11.138766288757324,0.06688554600009411,6.9967170200000055
88,0.5556138157844543,0.42920246720314026,0.012641132809221745,1.76e-05,10.172623634338379,0.06646772399994916,7.063585904999968
89,0.4659046530723572,0.3781558871269226,0.008774875663220882,1.78e-05,11.258923530578613,0.06652721999989808,7.130478326000002
90,0.5164008140563965,0.4062691330909729,0.011013168841600418,1.8e-05,10.148502349853516,0.06614473799993448,7.196999122999955
91,0.5067911744117737,0.4005607068538666,0.010623044334352016,1.8200000000000002e-05,9.683664321899414,0.06625456299991583,7.263625862999902
92,0.4915720522403717,0.3880310356616974,0.010354102589190006,1.84e-05,11.4068021774292,0.06621426799995334,7.330196008999906
93,0.4502037763595581,0.354669988155365,0.009553378447890282,1.86e-05,10.4813232421875,0.06584024999995108,7.396400413999913
94,0.45593640208244324,0.3527051508426666,0.010323124937713146,1.88e-05,12.869708061218262,0.06622349400004168,7.462996434999923
95,0.4073795974254608,0.32427942752838135,0.008310016244649887,1.9e-05,10.058472633361816,0.06614046599997891,7.529546646999961
96,0.44832903146743774,0.362716943025589,0.008561210706830025,1.9200000000000003e-05,10.303912162780762,0.06584842699999172,7.595752769000001
97,0.457518994808197,0.3674696385860443,0.009004933759570122,1.94e-05,12.690698623657227,0.06617909600004168,7.662322278999909
98,0.4152851104736328,0.33924102783203125,0.007604409474879503,1.9600000000000002e-05,10.23509693145752,0.06633167000006779,7.729021388999968
99,0.41241031885147095,0.3317316770553589,0.008067864924669266,1.9800000000000004e-05,13.128841400146484,0.06688285200004884,7.796303998999974
100,0.47455617785453796,0.4076142907142639,0.006694188341498375,2e-05,13.071727752685547,0.06679807399996207,7.863474194999981
101,0.4916037917137146,0.4241636395454407,0.006744013633579016,2.0200000000000003e-05,9.293402671813965,0.06588977700005216,7.929745514999922
102,0.4516868591308594,0.3643689751625061,0.008731788024306297,2.04e-05,11.79769515991211,0.06612703999996938,7.9962693499999205
103,0.4478631615638733,0.3786369264125824,0.006922623608261347,2.06e-05,9.938706398010254,0.06634568800006946,8.062996002999967
104,0.4707910418510437,0.41895201802253723,0.005183902569115162,2.08e-05,10.938352584838867,0.06614773199999036,8.129573902999937
105,0.4639255404472351,0.40245601534843445,0.006146952509880066,2.1e-05,10.082283020019531,0.06591306999996505,8.195849988999953
106,0.4399925172328949,0.39225104451179504,0.004774146713316441,2.12e-05,8.049614906311035,0.06575394800006507,8.261978756999952
107,0.46212661266326904,0.399897038936615,0.006222958210855722,2.1400000000000002e-05,9.660852432250977,0.06574282499991568,8.328101064999942
108,0.4799298644065857,0.4251932203769684,0.0054736630991101265,2.16e-05,9.729084014892578,0.06663138500005061,8.395105604999912
109,0.44518864154815674,0.40285590291023254,0.00423327274620533,2.18e-05,9.000541687011719,0.0660984759999792,8.461564300999953
110,0.4211869537830353,0.3857758045196533,0.0035411145072430372,2.2000000000000003e-05,10.317008972167969,0.06637978300000213,8.528309369999988
111,0.4282247722148895,0.382904052734375,0.004532072693109512,2.22e-05,8.487909317016602,0.06579938400000174,8.594485891999966
112,0.3728039860725403,0.3215159475803375,0.005128805059939623,2.2400000000000002e-05,8.7429780960083,0.066022318000023,8.660877959000004
113,0.372419148683548,0.3343043923377991,0.0038114767521619797,2.26e-05,7.673661708831787,0.06751714500001071,8.728804962999902
114,0.4372442066669464,0.3875080347061157,0.004973618313670158,2.2800000000000002e-05,8.514180183410645,0.06655757700002596,8.795793339999932
115,0.4091070294380188,0.35926416516304016,0.004984287545084953,2.3000000000000003e-05,8.407868385314941,0.06723251599999003,8.863447808999922
116,0.3976486027240753,0.3547765016555786,0.004287209827452898,2.32e-05,8.01193618774414,0.06702186400002574,8.930876653999917
117,0.39045149087905884,0.3577483594417572,0.003270314075052738,2.3400000000000003e-05,7.326321601867676,0.06703843000002507,8.998320624999906
118,0.3676164746284485,0.3233180046081543,0.004429845605045557,2.36e-05,8.34289836883545,0.06617914399998881,9.064901638999913
119,0.4556664824485779,0.425574392080307,0.0030092098750174046,2.38e-05,9.654789924621582,0.06602670799998123,9.131310286999906
120,0.34997525811195374,0.32466039061546326,0.002531487261876464,2.4e-05,7.258243560791016,0.06531058400003076,9.197001104999913
121,0.4919918179512024,0.4424147307872772,0.004957709461450577,2.4200000000000002e-05,8.80994701385498,0.06582938000008198,9.263206399999945
122,0.387652188539505,0.3595847189426422,0.0028067464008927345,2.44e-05,7.722880840301514,0.06592437200004042,9.329527048999921
123,0.4409758746623993,0.41127464175224304,0.002970123663544655,2.46e-05,10.229555130004883,0.06576308999990488,9.395648945999937
124,0.47852593660354614,0.4480086863040924,0.003051724750548601,2.48e-05,9.064306259155273,0.0658189550000543,9.461825097999963
125,0.4346359968185425,0.39170998334884644,0.004292601719498634,2.5e-05,9.051556587219238,0.0657515450000119,9.527986829999918
126,0.3876732885837555,0.35976481437683105,0.002790848258882761,2.5200000000000003e-05,7.2964630126953125,0.06619009600001391,9.59456744199997
127,0.4036175310611725,0.37785863876342773,0.0025758896954357624,2.54e-05,9.901816368103027,0.06589487300004748,9.66082436499994
128,0.40545135736465454,0.37882351875305176,0.0026627839542925358,2.5600000000000002e-05,7.9377312660217285,0.06607644700000037,9.727275773999963
129,0.4200247824192047,0.388833612203598,0.0031191168818622828,2.58e-05,9.636553764343262,0.06647712900007718,9.794137687999978
130,0.45016515254974365,0.4260150194168091,0.002415013499557972,2.6000000000000002e-05,9.639864921569824,0.06628010499991888,9.860802592999903
131,0.3328317105770111,0.30366507172584534,0.002916663885116577,2.6200000000000003e-05,9.108983993530273,0.0664890440000363,9.927715568999929
132,0.4244794249534607,0.3973620533943176,0.00271173776127398,2.64e-05,8.486849784851074,0.06604352700003346,9.99416337699995
133,0.39113643765449524,0.3604670464992523,0.003066937904804945,2.6600000000000003e-05,10.849448204040527,0.0659261289999904,10.06045605199995
134,0.39736208319664,0.37254199385643005,0.0024820088874548674,2.6800000000000004e-05,8.99261474609375,0.06581292599992139,10.126647296999977
135,0.4330201745033264,0.40408387780189514,0.002893629251047969,2.7000000000000002e-05,10.462852478027344,0.06605063400002109,10.193242467999994
